61	65	11	27	13	12	9	71	70	73	0	19	74	72	69	17	73	21	62	19	71	9	47	17	71	70	62	14	57	57	15	23	71	68	14	11	71	11	13	75	17	15	14	17	72	30	59	71	19	8	17	60	76	10	17	59	62	16	14	12	14	74	74	11	13	37	69	77	63	13	73	77	74	10	73	16	61	9	17	19	70	59	18	70	74	61	73	16	71	12	86	59	77	36	9	65	16	69	77	69	14	19	77	72	57	69	14	14	17	72	70	58	13	14	72	60	22	59	76	81	69	15	12	14	17	19	13	74	60	18	81	14	14	80	70	74	78	32	35	74	64	75	19	59	69	10	68	13	17	89	13	17	22	69	12	23	14	13	17	15	76	16	23	16	9	83	73	13	70	9	16	71	15	14	68	13	37	72	12	14	18	20	67	17	83	69	62	16	79	13	71	65	62	9	18	69	12	59	57	74
55	58	20	36	14	18	20	69	66	68	19	0	69	68	66	17	70	23	55	26	68	17	46	17	67	66	56	17	53	50	17	24	69	64	14	12	67	21	16	73	18	18	18	15	66	38	53	66	21	19	24	54	70	22	16	49	57	17	21	17	18	68	72	20	18	41	68	74	56	19	69	73	71	15	66	21	56	17	21	22	66	50	17	66	73	58	70	19	68	13	83	57	72	30	12	57	17	67	73	66	17	17	73	68	50	67	20	18	16	69	67	51	16	23	67	54	21	52	72	73	66	15	17	18	26	21	14	70	53	17	76	20	16	78	67	69	74	41	30	70	59	70	19	54	66	19	65	21	17	85	15	21	21	65	14	31	25	18	22	15	71	25	25	23	17	74	72	14	66	16	24	67	24	15	64	17	32	68	19	21	20	27	62	19	75	65	55	26	75	17	68	59	53	14	24	66	13	52	51	73
53	48	73	79	76	74	72	18	12	11	74	69	0	18	20	69	11	70	50	77	13	73	82	73	14	27	44	72	54	53	78	74	21	16	71	71	15	75	72	45	76	75	73	75	15	76	50	8	71	75	76	46	67	73	73	53	52	74	75	71	73	40	18	78	74	81	22	19	45	71	14	13	11	72	58	76	57	72	75	73	8	50	66	18	21	60	13	72	13	71	56	62	40	67	71	52	73	10	15	11	70	74	32	14	47	14	74	72	67	15	14	52	71	74	15	53	74	50	12	42	23	69	70	71	79	71	74	12	49	77	20	78	67	32	13	26	23	72	80	12	53	16	73	51	14	76	15	76	74	37	68	72	72	20	69	79	76	69	67	67	17	70	81	76	70	34	26	70	17	72	77	30	77	70	20	72	74	13	74	68	74	77	12	67	38	12	53	76	16	74	17	51	49	71	78	14	71	45	50	34
47	45	71	78	75	73	71	18	16	17	72	68	18	0	23	70	17	70	44	76	18	72	81	72	15	33	42	72	50	49	77	73	17	16	71	71	18	75	70	40	75	74	72	75	23	79	44	20	72	73	74	42	64	72	72	51	49	73	75	70	73	45	24	78	74	80	29	25	41	70	21	19	17	71	54	74	50	70	75	72	18	47	65	23	25	62	19	73	18	70	56	55	33	66	70	46	71	18	24	22	69	73	38	17	44	23	73	71	65	28	17	48	70	75	20	47	74	46	20	42	15	69	70	70	78	71	72	20	43	76	22	77	65	40	18	34	16	71	79	20	48	17	72	47	23	76	21	74	71	35	69	72	70	21	67	80	76	69	67	67	22	68	79	75	71	39	32	68	26	71	76	19	76	69	27	71	74	14	73	69	73	75	20	67	53	19	48	75	26	73	23	42	44	70	79	18	70	40	45	35
47	42	68	73	72	70	69	27	20	14	69	66	20	23	0	68	19	67	47	75	20	68	78	68	25	37	44	68	52	49	73	71	25	20	68	67	25	72	69	43	73	70	70	73	22	72	48	21	68	71	73	41	65	69	72	54	46	71	70	67	69	46	27	73	70	72	28	17	42	68	20	26	21	68	56	71	53	69	69	69	21	50	63	25	32	55	20	70	20	67	62	57	32	61	67	49	68	19	18	22	67	70	40	25	44	22	71	68	62	25	20	49	67	70	28	48	73	46	27	47	26	66	66	68	75	68	70	18	47	73	27	73	64	29	22	29	31	67	74	24	51	23	69	47	21	72	25	73	70	37	66	67	67	28	65	75	71	65	62	63	29	67	75	71	66	39	33	66	22	67	73	28	73	68	24	68	71	23	71	63	72	75	19	61	49	21	49	72	27	71	17	46	44	67	74	25	66	41	45	30
58	61	17	31	14	17	17	70	66	69	17	17	69	70	68	0	71	18	59	17	68	12	51	16	69	65	58	14	55	54	19	21	68	65	14	14	67	16	13	73	13	15	16	12	67	34	55	66	20	15	18	58	71	17	14	56	59	17	19	12	14	68	70	18	16	47	66	73	57	16	69	74	70	15	68	16	60	14	19	18	66	54	17	66	72	61	69	16	68	12	81	60	74	34	13	60	15	67	75	65	12	21	77	68	53	66	16	16	17	68	66	55	13	16	67	57	16	57	71	76	67	14	9	14	25	11	17	70	57	18	75	17	14	76	67	68	75	31	33	70	60	71	22	58	66	16	66	16	22	87	12	21	26	67	16	28	20	15	20	17	74	23	29	22	15	79	70	12	66	17	17	69	18	11	63	19	31	70	14	17	23	25	61	16	77	65	58	22	75	17	68	63	59	15	21	65	16	57	54	74
55	50	73	78	77	75	72	19	12	9	73	70	11	17	19	71	0	69	53	78	9	73	83	73	13	33	48	71	56	55	79	75	20	14	71	72	15	76	72	38	78	74	74	76	13	77	51	11	71	74	75	48	73	73	74	57	55	74	75	71	73	42	13	78	74	78	16	21	47	72	15	15	9	72	61	76	57	72	75	72	10	53	66	17	18	62	11	73	15	71	56	63	38	67	71	53	72	8	14	14	71	73	30	15	49	11	74	72	67	17	13	55	72	75	17	56	75	52	13	40	22	70	71	72	79	72	74	10	51	77	23	79	67	36	14	23	20	72	78	14	55	14	74	52	13	76	17	76	74	33	70	73	71	18	69	79	76	70	67	67	18	69	79	76	71	34	27	70	18	72	76	31	77	71	23	72	74	11	75	68	75	77	14	67	44	15	56	76	14	75	13	53	51	72	79	20	71	47	52	33
66	67	14	30	22	25	17	68	66	69	21	23	70	70	67	18	69	0	66	21	67	20	61	12	67	67	66	19	65	64	21	28	68	64	14	17	66	20	21	75	25	17	20	20	66	35	61	66	16	21	15	66	79	22	25	65	68	20	18	15	19	68	68	23	18	40	65	74	64	18	68	71	69	19	71	15	67	23	14	12	66	64	17	63	71	69	70	24	67	16	80	69	75	36	22	69	21	65	75	66	17	25	73	68	59	65	20	14	23	67	65	63	18	17	67	63	27	65	71	77	65	19	16	22	28	12	22	70	64	23	75	16	19	77	67	67	72	30	25	68	67	71	21	67	64	18	63	23	23	84	20	20	23	65	20	35	20	21	22	19	72	26	30	26	22	79	66	19	69	23	16	70	23	20	62	20	32	69	23	16	31	28	62	18	79	65	66	18	75	20	66	69	65	21	25	66	18	63	61	78
16	16	65	66	61	59	63	50	44	49	62	55	50	44	47	59	53	66	0	68	49	59	58	64	49	46	19	61	18	16	66	61	42	44	64	61	49	65	59	55	60	63	63	63	49	71	20	53	68	62	67	14	48	63	57	25	15	61	66	61	62	66	60	64	61	73	60	52	16	59	49	54	53	60	28	65	22	59	67	65	50	17	56	53	57	40	48	61	49	60	57	21	34	51	58	15	59	53	52	51	59	60	64	48	18	56	63	62	54	57	47	15	60	67	47	17	61	15	54	60	44	59	60	60	64	63	60	51	9	61	49	66	58	59	46	64	54	66	73	53	18	45	61	21	54	65	52	62	60	71	59	65	60	55	56	66	66	60	57	57	57	59	68	63	60	67	63	57	51	58	67	32	65	59	50	59	68	48	60	61	61	61	45	57	68	47	16	67	61	62	51	14	15	61	67	46	59	12	11	46
66	70	16	38	18	22	16	77	74	78	19	26	77	76	75	17	78	21	68	0	76	18	56	20	75	73	67	20	63	63	21	14	75	72	20	19	74	10	19	79	18	16	14	19	76	40	62	75	22	16	17	67	81	14	21	65	67	20	24	18	19	71	76	22	22	51	74	81	67	18	77	80	77	16	74	18	68	19	19	22	74	64	23	72	76	68	77	20	75	18	86	65	81	45	18	70	18	74	82	73	17	26	83	75	61	73	9	20	24	75	73	64	17	14	75	64	19	66	78	84	74	17	16	21	29	19	22	77	65	23	82	15	21	84	74	76	81	26	35	78	68	78	23	67	73	16	72	15	28	93	18	20	30	75	20	34	25	17	29	24	81	28	29	26	21	88	77	18	76	21	17	76	14	17	71	22	34	77	17	24	26	26	70	26	85	72	65	25	82	20	76	72	67	20	18	72	19	66	63	81
